id,rating,has_positive,has_negative
1,3,1,1
2,4,0,1
3,3,0,0
4,5,1,0
5,2,1,0
6,4,1,1
7,1,1,1
8,1,0,1
9,5,0,0
10,1,1,1
11,5,1,1
12,3,0,0
13,5,1,1
14,3,1,0
15,5,1,0
16,2,1,1
17,4,1,0
18,4,1,0
19,3,1,0
20,4,0,0
21,5,1,0
22,4,1,0
23,5,1,0
24,4,1,0
25,5,1,0
26,4,1,0
27,1,1,1
28,2,1,0
29,2,1,0
30,5,1,0
31,1,1,0
32,2,1,0
33,5,1,1
34,5,1,0
35,1,0,0
36,4,1,0
37,1,1,0
38,5,1,1
39,4,1,0
40,2,1,0
41,5,1,1
42,4,1,0
43,4,1,0
44,5,1,0
45,4,1,0
46,3,1,1
47,4,1,1
48,5,1,0
49,4,1,0
50,5,1,1
51,2,0,0
52,5,1,1
53,5,1,0
54,5,1,0
55,5,1,0
56,5,1,1
57,5,1,0
58,4,1,0
59,5,1,1
60,5,1,0
61,5,1,0
62,5,1,1
63,5,1,1
64,5,1,1
65,4,1,0
66,4,1,1
67,5,1,1
68,5,1,1
69,5,0,1
70,4,1,1
71,5,1,1
72,5,0,1
73,5,1,1
74,5,1,0
75,5,1,1
76,5,1,0
77,5,1,1
78,5,1,0
79,5,1,0
80,5,1,0
81,5,1,1
82,5,1,0
83,4,1,1
84,5,1,1
85,1,1,1
86,5,1,1
87,3,1,1
88,4,1,1
89,5,1,0
90,3,0,0
91,5,1,0
92,5,0,0
93,4,0,1
94,5,1,0
95,1,0,1
96,5,1,1
97,5,1,0
98,5,1,0
99,3,0,0
100,5,0,0
101,5,1,0
102,4,1,1
103,5,1,0
104,4,0,0
105,4,1,0
106,3,1,0
107,3,0,0
108,2,0,0
109,4,1,1
110,5,1,0
111,5,0,0
112,4,0,1
113,4,1,0
114,3,1,1
115,5,1,1
116,3,0,0
117,1,1,0
118,4,1,0
119,5,1,1
120,5,1,0
121,4,0,0
122,5,1,0
123,5,1,1
124,4,1,0
125,5,1,1
126,5,0,1
127,4,0,0
128,5,1,0
129,3,0,0
130,5,1,0
131,5,1,0
132,5,1,0
133,3,1,0
134,5,1,0
135,5,1,0
136,5,1,1
137,5,1,1
138,5,0,0
139,5,1,1
140,5,1,0
141,5,1,0
142,5,1,0
143,5,0,1
144,4,0,1
145,3,1,1
146,4,1,1
147,5,1,0
148,4,1,1
149,5,0,0
150,5,1,0
151,2,0,0
152,4,1,0
153,5,1,1
154,5,0,0
155,5,1,0
156,4,1,0
157,4,1,0
158,5,1,0
159,4,1,0
160,5,1,1
161,3,1,1
162,4,1,1
163,4,1,0
164,5,1,0
165,5,1,0
166,2,1,1
167,5,1,1
168,1,1,1
169,5,1,0
170,1,1,0
171,2,1,0
172,2,1,1
173,4,0,0
174,4,1,0
175,4,0,0
176,3,1,0
177,5,1,0
178,4,1,0
179,5,1,1
180,3,1,0
181,5,1,0
182,4,1,0
183,2,1,0
184,3,1,0
185,5,1,0
186,3,1,0
187,4,0,0
188,3,1,0
189,2,1,0
190,5,1,0
191,4,1,0
192,3,1,1
193,4,1,1
194,3,0,0
195,5,1,0
196,5,1,1
197,1,1,1
198,3,1,1
199,4,1,0
200,5,1,1
201,5,0,1
202,3,0,1
203,4,0,0
204,3,1,0
205,4,0,1
206,4,0,0
207,2,1,1
208,4,1,1
209,3,0,0
210,4,0,0
211,3,1,0
212,3,1,0
213,5,1,1
214,5,1,1
215,5,0,0
216,5,1,0
217,4,1,1
218,1,1,1
219,3,1,1
220,4,1,0
221,3,1,1
222,3,0,0
223,3,1,0
224,3,1,1
225,3,1,1
226,5,1,1
227,4,1,1
228,5,1,1
229,5,1,1
230,3,1,1
231,2,1,0
232,5,1,1
233,3,1,0
234,3,1,1
235,1,1,1
236,3,1,1
237,2,1,0
238,3,1,0
239,1,0,0
240,5,1,1
241,1,0,0
242,5,0,0
243,4,1,1
244,4,1,1
245,5,1,0
246,5,1,0
247,2,1,0
248,1,1,1
249,4,1,0
250,3,0,1
251,5,1,1
252,3,1,0
253,4,1,0
254,4,0,0
255,1,1,1
256,5,1,1
257,4,1,0
258,5,1,1
259,5,1,0
260,4,1,0
261,5,1,0
262,4,0,1
263,1,1,0
264,3,1,0
265,4,1,0
266,5,1,0
267,5,1,0
268,4,0,0
269,3,1,1
270,4,1,0
271,3,1,1
272,4,1,1
273,3,1,0
274,4,1,0
275,5,1,0
276,4,1,0
277,4,0,0
278,5,1,0
279,4,1,0
280,4,0,0
281,2,1,0
282,2,0,0
283,1,1,1
284,5,1,0
285,4,1,0
286,4,1,0
287,5,1,1
288,4,1,0
289,4,1,0
290,3,1,0
291,4,1,0
292,4,1,1
293,5,1,1
294,4,1,1
295,3,1,0
296,3,1,0
297,3,1,1
298,1,0,0
299,3,1,0
300,5,1,0
301,1,0,0
302,4,1,1
303,3,1,0
304,4,1,1
305,5,1,0
306,2,1,0
307,5,1,0
308,3,0,0
309,5,1,0
310,5,1,0
311,5,1,0
312,4,1,1
313,3,0,0
314,4,1,0
315,4,0,0
316,3,1,0
317,3,1,1
318,3,0,0
319,3,1,0
320,5,1,0
321,3,1,0
322,2,1,0
323,4,1,0
324,2,0,0
325,3,1,1
326,5,1,0
327,4,0,0
328,2,1,1
329,3,1,1
330,5,1,0
331,2,1,0
332,3,0,0
333,3,1,0
334,3,1,0
335,3,1,0
336,5,1,0
337,2,1,1
338,1,0,0
339,5,1,0
340,4,0,0
341,2,1,0
342,4,1,0
343,4,1,1
344,5,1,0
345,4,1,0
346,3,1,1
347,4,1,0
348,4,1,1
349,4,0,0
350,2,1,0
351,4,1,0
352,5,1,0
353,5,1,0
354,5,1,0
355,4,1,0
356,1,1,1
357,1,1,0
358,1,1,0
359,1,1,1
360,5,0,0
361,5,1,1
362,4,1,0
363,2,1,0
364,5,1,0
365,3,1,0
366,5,1,0
367,5,1,0
368,5,1,0
369,5,0,0
370,3,1,0
371,5,0,0
372,5,1,0
373,4,1,0
374,4,1,0
375,4,1,1
376,5,1,1
377,5,0,0
378,4,1,0
379,5,0,0
380,4,1,0
381,4,1,0
382,4,0,0
383,5,1,0
384,1,1,0
385,5,1,0
386,3,1,0
387,3,1,1
388,3,1,1
389,4,1,0
390,4,1,0
391,5,0,0
392,4,1,1
393,1,1,0
394,1,1,0
395,5,1,1
396,4,1,0
397,4,1,1
398,2,1,0
399,5,0,0
400,5,1,1
401,5,0,0
402,5,1,0
403,5,1,1
404,4,1,1
405,4,1,0
406,5,0,0
407,5,0,0
408,3,1,1
409,5,1,0
410,5,1,1
411,5,0,0
412,5,1,0
413,5,1,0
414,5,1,1
415,4,1,1
416,5,1,1
417,3,0,0
418,5,1,0
419,3,1,1
420,4,1,0
421,3,1,0
422,4,1,1
423,4,1,0
424,5,1,0
425,5,1,0
426,3,1,1
427,5,1,0
428,4,1,0
429,2,0,1
430,5,1,1
431,5,1,1
432,5,1,0
433,5,1,1
434,4,1,0
435,5,1,0
436,3,1,0
437,4,1,1
438,5,1,0
439,5,1,0
440,5,1,0
441,4,0,0
442,4,0,0
443,5,0,0
444,4,1,0
445,3,1,0
446,4,1,1
447,4,1,1
448,4,1,0
449,1,1,0
450,4,1,0
451,4,0,0
452,2,1,1
453,4,1,0
454,5,1,1
455,4,1,1
456,5,1,1
457,4,1,0
458,5,1,0
459,4,1,0
460,5,1,0
461,5,0,0
462,4,0,0
463,4,1,1
464,5,1,0
465,4,1,1
466,5,1,0
467,5,1,0
468,5,1,0
469,5,1,0
470,5,1,0
471,3,1,0
472,5,1,0
473,5,1,0
474,5,1,0
475,5,0,0
476,5,1,0
477,4,1,0
478,5,1,0
479,5,1,0
480,4,1,0
481,5,1,0
482,5,1,0
483,4,1,0
484,5,1,1
485,5,1,1
486,5,1,0
487,5,1,0
488,5,1,0
489,5,1,1
490,5,1,0
491,5,1,0
492,4,0,0
493,5,1,0
494,1,0,0
495,5,1,0
496,5,1,1
497,5,1,0
498,4,1,0
499,5,1,0
500,5,0,1
501,5,1,0
502,5,1,0
503,5,1,1
504,5,1,1
505,5,1,0
506,4,1,0
507,4,1,0
508,5,1,0
509,4,1,0
510,1,1,1
511,5,1,0
512,5,1,1
513,4,1,0
514,4,1,1
515,4,1,0
516,3,1,0
517,4,1,0
518,4,1,0
519,3,0,0
520,4,1,0
521,5,0,0
522,5,1,1
523,3,1,0
524,4,1,0
525,5,0,0
526,4,1,1
527,3,1,0
528,4,0,0
529,5,1,0
530,5,1,0
531,4,1,1
532,3,0,0
533,4,1,1
534,3,0,0
535,4,1,1
536,4,1,0
537,4,1,1
538,3,1,0
539,4,1,0
540,3,1,0
541,3,1,0
542,5,1,1
543,4,1,0
544,4,0,1
545,3,1,1
546,5,1,0
547,5,1,1
548,4,1,1
549,4,1,1
550,5,1,1
551,5,1,1
552,5,1,1
553,5,1,0
554,5,1,0
555,5,1,1
556,5,0,0
557,3,1,1
558,5,1,0
559,5,1,0
560,5,0,1
561,5,1,0
562,5,1,0
563,4,1,1
564,1,1,1
565,5,1,0
566,5,1,1
567,5,1,0
568,5,0,0
569,5,0,0
570,5,1,1
571,5,1,1
572,5,1,1
573,3,1,0
574,4,1,0
575,3,1,0
576,4,1,0
577,4,1,0
578,5,1,1
579,4,1,0
580,4,1,0
